Product_ID,Carbon_Footprint_Transportation,Energy_Consumption,Packaging_Materials_Weight
P1,145.91401976868258,157.30417366533146,2.0576476591729342
P2,53.75161328340004,364.08496952429726,5.340168416012328
P3,91.25439775536789,188.41709617841303,2.172959566994479
P4,83.48161072232341,220.20038150296784,6.431271857422395
P5,160.47068212460186,124.38305484270487,8.447696007868661
P6,151.5049231134367,479.40810201068854,9.072720575627784
P7,183.8269351557268,451.8855563855532,7.973833807610229
P8,63.040824894412424,464.6310662482178,6.843085615958805
P9,113.28827295279056,350.397255059332,5.698398066953987
P10,54.46958291571055,270.8802329178174,4.333397052239021
P11,82.7956962205405,298.24831499720835,1.3909445500283333
P12,125.80329321550435,488.9160941374743,5.768348670457351
P13,53.98039545257954,476.6345639327647,3.0653763074114515
P14,79.82564760299728,368.53700989828894,8.220701764070323
P15,147.48266566692848,414.3218383922072,8.106000266358592
P16,131.7412220904825,227.4937829265249,4.431128465791495
P17,83.0660933061045,266.52985336857785,6.301432775270858
P18,138.38985258138632,159.6870431300655,7.672546380540205
P19,171.414568501674,250.58407540285282,7.853853043427427
P20,50.97481395170915,401.76643889525013,7.270368428417201
P21,170.8728877749212,289.40752816488794,1.8794521751210433
P22,154.72090924823402,439.7363729040162,2.2049479506214125
P23,101.03757747769879,220.29456751805913,5.29427113304086
P24,73.32192497176723,383.03071899518886,3.092616015603901
P25,193.58196083101717,422.31046397395477,8.731479225712704
P26,100.489181766894,465.8964695263622,3.5494000120806026
P27,63.911876507022185,324.95437983476364,8.89089681873902
P28,64.5074565250196,487.11447541865067,4.677820342184937
P29,177.12415495211897,322.9147032797092,2.7011891234608365
P30,140.55890470503365,153.6371004236312,7.382339534854971
P31,171.06924099115702,197.1434064358343,8.104802340746124
P32,159.45976800407269,181.33469322402175,6.201884312204015
P33,130.43421371820511,358.68234061917786,2.0604574358303593
P34,195.96736459690558,468.89044180448894,1.064746472055233
P35,106.78015658125302,438.85335436784476,6.890915087228777
P36,132.80609469098405,136.98559861074546,7.189900630999985
P37,174.41069963794922,389.83388492288077,3.8431154316634357
P38,142.7779628546369,176.1926473722953,4.260428107971317
P39,179.25603504661657,207.38463514199248,2.3930072250563224
P40,136.6028217885143,369.4687682538314,6.864183413001386
P41,155.68577543223853,341.1688179956303,3.2826945360878557
P42,56.87365754834933,449.4481833958159,8.694792336411357
P43,84.18474134773203,175.26531757310212,4.812053926900268
P44,93.40819454031607,404.678567014884,4.290796849928245
P45,61.968796538544126,389.7220959408597,3.4800448859198987
P46,84.91863295415453,323.5401905090109,7.125451345571036
P47,65.15021441145937,291.7576825883659,7.794747105488501
